supp_table1_figure,ensemble,runs_stated,category,unique_runs_in_seed_audit,table,note
6,"Regime map (Lambda, s_d) grid + neutral anchor",2300,B,0,regime_map_grid.parquet,seeded per-run table deposited but NOT among audit inputs -> unaudited
7 (lineage kernels),Lineage-tracing kernels,144,B,0,lineage_sims.pkl,"pickle, no per-run seed table"
"2d-e, S9, S14",Finite-size L_long sweep,1870,A,1870,finite_size.parquet,
"3e-f, S10","Reduced-model inputs (v(g), D0, MSD)",1560,A,1560,reduced_model_runs.parquet,
"S15, S8 (methods)",Stiffness/noise/Laplace/tilt controls,2520,B,0,tension_test.parquet,"42-row aggregate, no seed column"
S15 (audit),Independent stiffness re-measurement,312,B,0,"audit_runs.tar.gz, tension_audit_results.csv",tarball + summary csv; not among audit's parquet inputs
"4d-f, S11",Ridge tracing (ridge law) T1/T2/T3/N-crossing,7400,A,7400,ridge_law.parquet,"4,700 of its 7,400 rows are also deposited inside estimator_sensitivity_ladders.parquet (groups T1/T2a/T2b/N32) and 2,700 are unique to ridge_law.parquet; all 7,400 are in the audit universe (dedup attributes the shared 4,700 to the ladders table)"
7,Confrontation kernel ensembles (power surface),12000,B,0,confrontation_stats.parquet (339-row aggregate),"12,000 kernel realisations deposited only as aggregate stats; no per-run seed ledger"
4f,Intensivity extension + aspect control,2159,A,2159,intensivity_ext.parquet,
"4g, 4h",Least-loaded-class census (instrumented),306,B,0,"n0_census.parquet, n0_census_raw.parquet","n0_census (15 rows) lacks seed; n0_census_raw excluded by the audit as DERIVED (79,950 per-cell rows)"
S17,Ratchet-click census / rate-spread test,1984,B,0,sigma_dR_ladder / gridseries / neutral_com.parquet,"all three excluded by the audit as DERIVED (event/series tables), so the 1,984 fixation runs are unaudited"
S18,Neighbourhood (vN vs Moore) ridge test,2906,A,2906,neighbourhood_ridge.parquet,
S19,Aspect-ratio ladder (new runs only),1029,B,0,"aspect_ladder.parquet, aspect_runs_raw.parquet","aspect_ladder excluded as DERIVED (pool incl. 3,509 reused runs); aspect_runs_raw not among inputs -> 1,029 new runs unaudited"
S20 (a-c),Pusher-switch mixed-rule ensemble,9160,B,0,ensemble_main/calibration/refine2/validation_runs.parquet,'not part of the present analysis' per Supp Table 1; per-run tables deposited but not among audit inputs
"S20 (d, e)",Front-morphology ensembles,258,B,0,"pusher_morphology.parquet (DERIVED-excluded), rough_out/",excluded by the audit as DERIVED
S25,Ridge-profile re-anchoring,4700,A,4700,ridge_profile_runs.parquet,"headline pool also draws reused audited tables (ladders, census_sd) - see figure coverage"
"Fig. 4h, S21",Front census functional form + contacts,956,B,0,contact_census_runs.parquet,table has NO seed column (uses 'runid'/rung ids) -> the audit skipped it; 956 runs unaudited
S22,Fixed-s_d estimator bracketing supplement,2100,A,2100,estimator_supplement_runs.parquet,"the 2,100 supplement runs are byte-identical rows inside estimator_sensitivity_ladders.parquet (group EST); all audited, attributed there under dedup"
S23,Click-onset effect-size sweep,5360,A,5360,onset_runs.parquet,
S24,Census across effect size,3712,A,3712,census_sd_runs.parquet,
S26,Von Neumann census stencil test,1708,A,1708,vn_census_runs.parquet,
—,Fitness-precision (underflow) probes,6,C,0,fitness_underflow_check.json,"diagnostic probes, JSON only, enter no statistic"
S27,Placement MC + anchor leave-one-out,0,C,0,placement_mc_*.parquet/json,"analysis-only, 0 runs"
S28,Ridge-law refit low-s_d extension,1464,B,0,low_sd_extension_runs.parquet,round-8 seeded per-run table deposited AFTER the audit; not among its inputs -> unaudited
S29,Lattice-topology control (hex/random),3072,B,0,topology_control_runs.parquet,round-8; deposited after the audit -> unaudited
S30,Open-system ongoing-nucleation test,13100,B,0,open_system_runs.parquet,round-8; deposited after the audit -> unaudited
